/home/sdn/Desktop/2/application/nfv/www.click:37: While initializing 'fr_ext :: FromDevice':
  warning: s7-eth1: no IPv4 address assigned
/home/sdn/Desktop/2/application/nfv/www.click:39: While initializing 'fr_int :: FromDevice':
  warning: s7-eth2: no IPv4 address assigned
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0ab9 f77e596b 08060001 08000604 00010ab9
www_ci_0:   42 | ffffffff ffff0ab9 f77e596b 08060001 08000604 00010ab9
www_ci_3:   70 | 33330000 000282ec 4beb8eec 86dd6000 00000010 3afffe80
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_0:   42 | ffffffff ffff0000 00000002 08060001 08000604 00010000
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00542b37 40004001
www_c_ip_in1:   84 | 45000054 2b374000 4001473a 6400000b 6400002d 08006240
www_ci_1:   42 | 924af404 75540000 00000002 08060001 08000604 00020000
www_ci_1:   42 | 924af404 75540000 00000002 08060001 08000604 00020000
www_ci_1:   42 | 924af404 75540000 00000002 08060001 08000604 00020000
www_ci_1:   42 | 924af404 75540000 00000002 08060001 08000604 00020000
www_ci_1:   42 | 924af404 75540000 00000002 08060001 08000604 00020000
www_ci_1:   42 | 924af404 75540000 00000002 08060001 08000604 00020000
www_ci_1:   42 | 924af404 75540000 00000002 08060001 08000604 00020000
www_ci_1:   42 | 924af404 75540000 00000002 08060001 08000604 00020000
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00542ba0 40004001
www_c_ip_in1:   84 | 45000054 2ba04000 400146d1 6400000b 6400002d 08006438
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00542c05 40004001
www_c_ip_in1:   84 | 45000054 2c054000 4001466c 6400000b 6400002d 080068fd
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00542cfc 40004001
www_c_ip_in1:   84 | 45000054 2cfc4000 40014575 6400000b 6400002d 080019a2
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00542d0d 40004001
www_c_ip_in1:   84 | 45000054 2d0d4000 40014564 6400000b 6400002d 0800de9f
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00542d12 40004001
www_c_ip_in1:   84 | 45000054 2d124000 4001455f 6400000b 6400002d 08001095
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00542d41 40004001
www_c_ip_in1:   84 | 45000054 2d414000 40014530 6400000b 6400002d 0800947e
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00542e3a 40004001
www_c_ip_in1:   84 | 45000054 2e3a4000 40014437 6400000b 6400002d 08000a21
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00542ee7 40004001
www_c_ip_in1:   84 | 45000054 2ee74000 4001438a 6400000b 6400002d 080061c1
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00542f82 40004001
www_c_ip_in1:   84 | 45000054 2f824000 400142ef 6400000b 6400002d 08008b62
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00542fc3 40004001
www_c_ip_in1:   84 | 45000054 2fc34000 400142ae 6400000b 6400002d 0800ef5a
www_ci_2:   98 | 924af404 75540000 00000002 08004500 00543050 40004001
www_c_ip_in1:   84 | 45000054 30504000 40014221 6400000b 6400002d 08007021
www_ci_2:   98 | 924af404 75540000 00000002 08004500 005430ce 40004001
www_c_ip_in1:   84 | 45000054 30ce4000 400141a3 6400000b 6400002d 08009cc0
www_ci_2:   98 | 924af404 75540000 00000002 08004500 0054317e 40004001
