/home/sdn/Desktop/2/application/nfv/dns.click:37: While initializing 'fr_ext :: FromDevice':
  warning: s4-eth1: no IPv4 address assigned
/home/sdn/Desktop/2/application/nfv/dns.click:39: While initializing 'fr_int :: FromDevice':
  warning: s4-eth2: no IPv4 address assigned
dns_ce_3:   70 | 33330000 00020000 00000007 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000009 86dd6000 00000010 3afffe80
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_0:   42 | ffffffff ffff0000 00000001 08060001 08000604 00010000
dns_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 0002c648 e84c375c 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 0002befb 246f43ac 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 0002befb 246f43ac 86dd6000 00000010 3afffe80
dns_ci_3:   70 | 33330000 0002c647 55b4e8c5 86dd6000 00000010 3afffe80
