/home/sdn/Desktop/2/application/nfv/nat.click:43: While initializing 'fr_int :: FromDevice':
  warning: s10-eth2: no IPv4 address assigned
/home/sdn/Desktop/2/application/nfv/nat.click:41: While initializing 'fr_ext :: FromDevice':
  warning: s10-eth1: no IPv4 address assigned
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020e81 633a73e2 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 0000000a 86dd6000 00000010 3afffe80
